Timestamp,Gesture
2026-06-18 19:04:15.732016,One
2026-06-18 19:04:16.867235,Three
2026-06-18 19:04:17.914687,Four
2026-06-18 19:04:19.471445,Open Palm
2026-06-18 19:04:19.549515,Four
2026-06-18 19:04:20.875597,Fist
2026-06-18 19:04:21.008990,One
2026-06-18 19:04:21.115686,Fist
2026-06-18 19:04:21.196189,One
2026-06-18 19:04:22.184838,Fist
2026-06-18 19:04:22.562260,One
2026-06-18 19:04:22.592671,Fist
2026-06-18 19:04:22.791673,One
2026-06-18 19:04:22.833386,Fist
2026-06-18 19:04:22.945107,One
2026-06-18 19:04:22.987306,Fist
